route_id,direction_id,route_direction_name
101,0,CAMPESTRE ET LUC-LE VIGAN
101,1,LE VIGAN-CAMPESTRE ET LUC
102,0,ST ROMAN DE CODIERES-GANGES
102,1,GANGES-ST ROMAN DE CODIERES
103,0,POMPIGNAN-SAINT HIPPOLYTE DU FORT
103,1,SAINT HIPPOLYTE DU FORT-POMPIGNAN
104,0,ARPHY-LE VIGAN
104,1,LE VIGAN-ARPHY
105,0,VISSEC-LE VIGAN
105,1,LE VIGAN-VISSEC
106,0,SAINT-ANDRE-DE-MAJENCOULE-LE VIGAN
106,1,LE VIGAN-SAINT-ANDRE-DE-MAJENCOULE
108,0,LE VIGAN-TREVES
108,1,TREVES-LE VIGAN
109,0,SAINT JEAN DU GARD- L'ESTRECHURE
109,1,L'ESTRECHURE-SAINT JEAN DU GARD
110,0,BANDAS - SAINT MAURICE DE NAVACELLE
110,1,SAINT MAURICE DE NAVACELLE -BLANDAS
112,0,ST JEAN DU GARD-NIMES
112,1,NIMES-SAINT JEAN DU GARD
113,0,SAINT AMBROIX-BARJAC-ALES
113,1,ALES-BARJAC-ST AMBROIX
114,0,ALES-NIMES
114,1,NIMES-ALES
115,0,ALES-AVIGNON
115,1,AVIGNON-ALES
121,0,PONT ST ESPRIT-NIMES
121,1,NIMES-PONT ST ESPRIT
122,0,PONT-SAINT-ESPRIT-AVIGNON
122,1,AVIGNON-PONT-SAINT-ESPRIT
123,0,BAGNOLS SUR CEZE-AVIGNON
123,1,AVIGNON-BAGNOLS SUR CEZE
125,0,ESTEZARGUES-NIMES
125,1,NIMES-ESTEZARGUES
130,0,ARLES-NIMES
130,1,NIMES-ARLES
132,0,LA GD MOTTE-LE GRAU DU ROI -NIMES
132,1,NIMES-LE GRAU DU ROI--LA GD MOTTE
133,0,LE CAILAR-NIMES
133,1,NIMES-LE CAILAR
134,0,VAUVERT-BEAUVOISIN-NIMES
134,1,NIMES-BEAUVOISIN-VAUVERT
135,0,LUNEL-NIMES
135,1,NIMES-LUNEL
136,0,LUNEL-SOMMIERES-NIMES
136,1,NIMES-SOMMIERES-LUNEL
140,0,LE VIGAN - NIMES
140,1,NIMES - LE VIGAN
141,0,SOMMIERES-NIMES
141,1,NIMES-SOMMIERES
142,0,LE VIGAN-ALES
142,1,ALES-LE VIGAN
150,0,TARASCON-ARAMON-AVIGNON
150,1,AVIGNON-ARAMON-TARASCON
151,0,NIMES-AVIGNON
151,1,AVIGNON-NIMES
152,0,ST AMBROIX-UZES-NIMES
152,1,NIMES-UZES-ST AMBROIX
201,0,RODEZ
201,1,LAGUIOLE
202,0,MILLAU
202,1,ST AFFRIQUE
203,0,VILLEFRANCHE DE ROUERGUE
203,1,RODEZ
204,0,RODEZ
204,1,DECAZEVILLE
205,0,VILLEFRANCHE DE ROUERGUE
205,1,FIGEAC
212,0,ESPALION
212,1,MUR DE BARREZ
213,0,RODEZ
213,1,SAINT GENIEZ D'OLT
214,0,MILLAU
214,1,RODEZ
215,0,MILLAU
215,1,MEYRUEIS
216,0,RODEZ
216,1,SAINT AFFRIQUE
217,0,MILLAU
217,1,SAINT JEAN DU BRUEL
219,0,RODEZ
219,1,REQUISTA
220,0,RODEZ
220,1,NAUCELLE
221,0,RODEZ
221,1,VILLEFRANCHE DE ROUERGUE
222,0,VILLEFRANCHE DE ROUERGUE
222,1,DECAZEVILLE
