route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
101,130,101,CAMPESTRE ET LUC - LE VIGAN,3,,74CFE2,000000
102,130,102,GANGES - SAINT-ROMAN DE CODIERES,3,,F5AE81,000000
103,130,103,POMPIGNAN - SAINT-HIPPOLYTE DU FORT,3,,718FAB,000000
104,130,104,LE VIGAN - ARPHY,3,,246F25,FFFFFF
105,130,105,VISSEC - LE VIGAN,3,,F072AB,000000
106,130,106,SAINT-ANDRE DE MAJENCOULE - LE VIGAN,3,,F17051,000000
108,130,108,LE VIGAN - TREVES,3,,2B5C9E,FFFFFF
109,130,109,SAINT-JEAN DU GARD - L'ESTRECHURE,3,,B74426,FFFFFF
110,130,110,BLANDAS - SAINT-MAURICE DE NAVACELLE,3,,ECC714,000000
112,130,112,SAINT-JEAN DU GARD - NIMES,3,,77C581,000000
113,130,113,ALES - SAINT-AMBROIX,3,,F19FC1,000000
114,130,114,ALES - NIMES,3,,25BCAD,000000
115,130,115,ALES - AVIGNON,3,,BCD5EC,000000
121,130,121,PONT SAINT-ESPRIT - NIMES,3,,EE7F00,000000
122,130,122,PONT SAINT-ESPRIT - AVIGNON,3,,2DA6DD,000000
123,130,123,BAGNOLS SUR CEZE - AVIGNON,3,,7F4A5F,FFFFFF
125,130,125,ESTEZARGUES - NIMES,3,,7E8525,000000
130,130,130,ARLES - NIMES,3,,D38449,000000
132,130,132,LE GRAU DU ROI - NIMES,3,,D5C7A1,000000
133,130,133,LE CAILAR - NIMES,3,,E43417,000000
134,130,134,VAUVERT -  NIMES,3,,0D89AF,000000
135,130,135,LUNEL - NIMES,3,,EAC616,000000
136,130,136,LUNEL - SOMMIERES - NIMES,3,,B656A0,000000
140,130,140,LE VIGAN - NIMES,3,,C3A658,000000
141,130,141,SOMMIERES - NIMES,3,,A7CD50,000000
142,130,142,LE VIGAN - ALES,3,,7D2F92,FFFFFF
150,130,150,TARASCON - AVIGNON,3,,6C89C5,000000
151,130,151,NIMES - AVIGNON,3,,EC0975,000000
152,130,152,SAINT-AMBROIX - NIMES,3,,7F76B7,000000
201,312,201,LAGUIOLE - ESPALION - RODEZ,3,,B0C638,000000
202,112,202,ST SERNIN - ST AFFRIQUE - MILLAU,3,,B0C638,000000
203,112,203,RODEZ - VILLEFRANCHE DE ROUERGUE,3,,EE7F00,000000
204,112,204,DECAZEVILLE - RODEZ,3,,F174AC,000000
205,112,205,FIGEAC - VILLEFRANCHE,3,,4D499D,FFFFFF
212,312,212,MUR DE BARREZ - ENTRAYGUES - ESPALION,3,,F69B27,000000
