stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1000107,,ABEILHAN - AV. F. MISTRAL,,43.45048600,3.29400600,,,1,,0
1000109,,ABEILHAN - AV. MOLIERE,,43.45545900,3.29569900,,,1,,0
65S15034,,ADAST - Route des Vallées,,42.97497500,-0.07832200,,,1,,0
1000115,,ADISSAN - CLAIRETTE,,43.53525500,3.42768200,,,1,,0
1003769,,AGDE - BALDY,,43.30761800,3.50216400,,,1,,0
1000133,,AGDE - COMMISSARIAT,,43.31185300,3.47602900,,,1,,0
1000159,,AGDE - GARE SNCF,,43.31689700,3.46595000,,,1,,0
1004179,,AGDE - J. Jaures,,43.31491700,3.46936000,,,1,,0
1000251,,AGDE - LA TREILLE,,43.31070300,3.48202600,,,1,,0
1003825,,AGDE - LES GARRIGUES,,43.30899500,3.48904300,,,1,,0
1000117,,AGDE - PROMENADE,,43.31481200,3.47174500,,,1,,0
1000257,,AGEL - CENTRE,,43.33720300,2.85392600,,,1,,0
32S01581,,AGEN - Gare SNCF,,44.20823986,0.61950020,,,1,,0
65S15045,,AGOS-VIDALOS - Mairie,,43.03581400,-0.07058300,,,1,,0
65S15044,,AGOS-VIDALOS - Église,,43.02986400,-0.07926000,,,1,,0
12S00939,,AGUESSAC - Av. des Causses,,44.15386517,3.09790718,,,1,,0
12S00003,,AGUESSAC - BELLEVUE,,44.16042075,3.09050064,,,1,,0
30S13024,,AIGALIERS - Camp de Baume,,44.05105000,4.33766000,,,1,,0
30S13030,,AIGALIERS - Gattigues,,44.04998181,4.32237146,,,1,,0
30S13026,,AIGALIERS - Village,,44.05656100,4.32396600,,,1,,0
1000267,,AIGNE - CENTRE,,43.33233700,2.79678000,,,1,,0
31S13061,,AIGNES - Mairie,,43.32061959,1.58777255,,,1,,0
30S13035,,AIGREMONT - Baraquettes,,43.96350777,4.13057643,,,1,,0
30S13031,,AIGREMONT - École Mairie,,43.96472000,4.12150000,,,1,,0
30S13033,,AIGREMONT - École Mairie,,43.96589000,4.12179000,,,1,,0
81S17388,,AIGUEFONDE - Centre,,43.50841499,2.34511727,,,1,,0
81S17390,,AIGUEFONDE - Roubinarie,,43.51566529,2.31715121,,,1,,0
30S13039,,AIGUES-MORTES - Collège Joliot Curie,,43.56715000,4.20215000,,,1,,0
1005139,,AIGUES-MORTES - GARE SNCF,,43.57083400,4.19147900,,,1,,0
30S13040,,AIGUES-MORTES - Gare SNCF,,43.57074000,4.19147000,,,1,,0
30S13045,,AIGUES-MORTES - La Pécherie,,43.56228000,4.18535000,,,1,,0
30S13042,,AIGUES-MORTES - Malamousque,,43.57617000,4.19809100,,,1,,0
1003687,,AIGUES-MORTES - TOUR DE CONSTANCE,,43.56864000,4.19050500,,,1,,0
30S13043,,AIGUES-MORTES - Tour de Constance,,43.56869000,4.19052000,,,1,,0
30S13055,,AIGUES-VIVES - 4 Routes,,43.72788000,4.19039000,,,1,,0
30S13054,,AIGUES-VIVES - Airettes,,43.74165500,4.16938700,,,1,,0
1000269,,AIGUES-VIVES - CENTRE,,43.33765800,2.81797000,,,1,,0
30S13052,,AIGUES-VIVES - Chemin de la Vaunage,,43.73387325,4.18417225,,,1,,0
09S01077,,AIGUES-VIVES - D625 Clémenceau,,42.99560396,1.87884326,,,1,,0
30S13047,,AIGUES-VIVES - Monument aux Morts,,43.74054100,4.17755300,,,1,,0
30S13050,,AIGUES-VIVES - Place du Temple,,43.73862900,4.18181200,,,1,,0
30S15782,,AIGUES-VIVES - Transformateur,,43.74625300,4.17007000,,,1,,0
09S03918,,AIGUES-VIVES - École,,42.99638300,1.87484700,,,1,,0
30S13066,,AIMARGUES - Aubanel,,43.68269600,4.21195000,,,1,,0
30S13072,,AIMARGUES - Avenue des Anciens,,43.68459000,4.20766000,,,1,,1
30S13069,,AIMARGUES - L'Idéal,,43.69082100,4.20535100,,,1,,0
30S13071,,AIMARGUES - Rue des Courlis,,43.69148406,4.20093593,,,1,,0
30S15522,,AIMARGUES - Zac la Garrigue,,43.69863000,4.20453000,,,1,,0
32S01968,,AIRE-SUR-L'ADOUR - Place Liberté,,43.70459300,-0.26000900,,,1,,0
11S03607,,AJAC - Terrain de Tennis,,43.04687400,2.13730800,,,1,,0
31S00001,,ALAN - Église,,43.22959700,0.94013700,,,1,,0
81S17639,,ALBAN - Centre,,43.88928261,2.46034393,,,1,,0
81S21051,,ALBAN - Ginestou,,43.88802700,2.44145390,,,1,,0
46S00095,,ALBAS - Bourg,,44.46837000,1.23647800,,,1,,0
46S00094,,ALBAS - Rivière Basse,,44.48046800,1.23034900,,,1,,0
46S00093,,ALBAS - Rivière Haute,,44.47342000,1.25149500,,,1,,0
81S20551,,ALBI - Albi  Route de Toulouse,,43.91877800,2.11935280,,,1,,0
81S17635,,ALBI - Caussels,,43.93178700,2.16955300,,,1,,0
81S17797,,ALBI - Centre Universitaire,,43.91991790,2.13847530,,,1,,0
81S17222,,ALBI - Collège Jean Jaurès,,43.94213880,2.14093710,,,1,,0
81S19421,,ALBI - Fonvialane,,43.95063700,2.12417010,,,1,,0
81S17810,,ALBI - Gare  SNCF,,43.92217400,2.13834820,,,1,,1
81S16956,,ALBI - Gare Routière,,43.92448187,2.14711908,,,1,,1
81S20554,,ALBI - Hôpital,,43.92515700,2.14522540,,,1,,0
81S23026,,ALBI - Hôtel de Police,,43.93005600,2.15326670,,,1,,0
81S16920,,ALBI - La Vene,,43.89860400,2.14939360,,,1,,0
81S16959,,ALBI - Lannes,,43.94254900,2.14972620,,,1,,0
81S16916,,ALBI - Parking Mézard,,43.91051032,2.14101935,,,1,,0
81S16918,,ALBI - Ranteil,,43.90578900,2.14148100,,,1,,0
81S16957,,ALBI - République,,43.92941100,2.14756970,,,1,,0
82S09202,,ALBIAS - Château d'Eau,,44.08830000,1.44449700,,,1,,0
82S04635,,ALBIAS - La Clare,,44.07622800,1.42795500,,,1,,0
82S13288,,ALBIAS - Pharmacie,,44.09031100,1.44701500,,,1,,0
81S17356,,ALBINE - RN,,43.46988060,2.53465600,,,1,,0
11S02990,,ALET-LES-BAINS - Abbaye d'Alet,,42.99681500,2.25258305,,,1,,0
09S00002,,ALEU - Castet d'Aleu Place,,42.90486600,1.24574100,,,1,,0
1000281,,ALIGNAN-DU-VENT - AV. DE PEZENAS,,43.47067500,3.34575100,,,1,,0
1004593,,ALIGNAN-DU-VENT - PUECH TROUPAN,,43.47034500,3.33781000,,,1,,0
1004137,,ALIGNAN-DU-VENT - RUE DE FRAISSE,,43.46862500,3.34123200,,,1,,0
48S03258,,ALLENC - Gare Sncf,,44.54154700,3.66374400,,,1,,0
30S13100,,ALLÈGRE-LES-FUMADES - Auzon Bégude,,44.19803781,4.24395167,,,1,,0
30S13095,,ALLÈGRE-LES-FUMADES - Auzon Rt Alès,,44.20109749,4.23398626,,,1,,0
30S13109,,ALLÈGRE-LES-FUMADES - Maison de l'Eau,,44.18434500,4.23368100,,,1,,0
30S13104,,ALLÈGRE-LES-FUMADES - Pont Rive Droite,,44.20451000,4.24895000,,,1,,0
30S13105,,ALLÈGRE-LES-FUMADES - Pont Rive Droite,,44.20481000,4.24926000,,,1,,0
30S13110,,ALLÈGRE-LES-FUMADES - Pont Rive Gauche,,44.20543500,4.24730300,,,1,,0
30S13093,,ALLÈGRE-LES-FUMADES - Station Thermale,,44.18626856,4.22818511,,,1,,0
30S13107,,ALLÈGRE-LES-FUMADES - Vieilles Fumades,,44.18681300,4.22141200,,,1,,0
81S17561,,ALMAYRAC - Centre,,44.10138500,2.16837290,,,1,,0
81S17555,,ALMAYRAC - Route de Mirandol,,44.09126900,2.16759500,,,1,,0
48S03289,,ALTIER - ALTIER - Biscuiterie Chataigne,,44.47207300,3.85854500,,,1,,0
46S03944,,ALVIGNAC - Bourg Centre,,44.82568800,1.69360100,,,1,,0
46S03937,,ALVIGNAC - Casino,,44.82334800,1.69860100,,,1,,0
30S13114,,ALZON - Place,,43.96608200,3.43914200,,,1,,0
11S03470,,ALZONNE - Gendarmerie,,43.25480800,2.17129800,,,1,,0
30S15344,,ALÈS - Artes,,44.15012000,4.10133000,,,1,,0
30S13080,,ALÈS - Brabo,,44.12741000,4.07794000,,,1,,0
30S13087,,ALÈS - Brigade,,44.10833800,4.09445000,,,1,,0
30S15337,,ALÈS - Chantilly,,44.13185246,4.08756627,,,1,,0
30S16032,,ALÈS - Chopin,,44.11581000,4.09760000,,,1,,0
30S13091,,ALÈS - Collège Jean Moulin,,44.13277400,4.07897800,,,1,,0
30S16080,,ALÈS - Daudet/Bellevue,,44.13461075,4.08608402,,,1,,1
30S13076,,ALÈS - Dhombres,,44.12428000,4.09168000,,,1,,0
30S03230,,ALÈS - Gare Routière,,44.12739854,4.08209653,,,1,,0
30S13077,,ALÈS - Gare Routière,,44.12749000,4.08327000,,,1,,0
30S13083,,ALÈS - Hôpital,,44.14658000,4.09726000,,,1,,0
30S13078,,ALÈS - Lycée Jean Baptiste Dumas,,44.12890000,4.07645000,,,1,,0
30S13074,,ALÈS - Lycée Lassalle,,44.12358900,4.08196100,,,1,,0
30S16030,,ALÈS - Parenove,,44.11124000,4.10029000,,,1,,0
30S13086,,ALÈS - Piscine,,44.11992000,4.08698000,,,1,,0
30S13089,,ALÈS - Pont Vieux,,44.12107491,4.07671921,,,1,,0
30S13082,,ALÈS - Sainte Bernadette,,44.11448000,4.10246000,,,1,,0
66S04219,,ALÉNYA - Ecole,,42.64083600,2.98218500,,,1,,0
66S03827,,ALÉNYA - Jean Moulin,,42.63934444,2.97821611,,,1,,0
66S04916,,ALÉNYA - Lot la Llosa,,42.63547100,2.98698200,,,1,,0
66S03826,,ALÉNYA - Parc Ecoiffier,,42.63915900,2.98096600,,,1,,0
66S00878,,ALÉNYA - Rond Point du Golf,,42.63961700,2.98483700,,,1,,0
66S70083,,ALÉNYA - Rue des Compagnons,,42.63945170,2.97460325,,,1,,0
81S17020,,AMBRES - La Coustarie,,43.73318930,1.82341040,,,1,,0
81S17036,,AMBRES - Le Gres,,43.72810810,1.82330980,,,1,,0
81S17022,,AMBRES - Les 3 Pigeons,,43.74270130,1.82108610,,,1,,0
66S04134,,AMÉLIE-LES-BAINS-PALALDA - Camping,,42.47890500,2.67437200,,,1,,0
66S04135,,AMÉLIE-LES-BAINS-PALALDA - Can Day,,42.48132700,2.67870000,,,1,,0
66S00989,,AMÉLIE-LES-BAINS-PALALDA - Gare Routiere,,42.47323000,2.67122500,,,1,,0
