stop_id,city_name,area_name,direction_id,ext_code_insee,ext_comments,ext_id
1000107,Abeilhan,,,,,
1000109,Abeilhan,,,,,
65S15034,Adast,,,65001,,
1000115,Adissan,,,,,
1003769,Agde,,,,,
1000133,Agde,,,,,
1000159,Agde,,,,,
1004179,Agde,,,,,
1000251,Agde,,,,,
1003825,Agde,,,,,
1000117,Agde,,,,,
1000257,Agel,,,,,
32S01581,Agen,,,47001,,
65S15045,Agos-Vidalos,,,65004,,
65S15044,Agos-Vidalos,,,65004,,
12S00939,Aguessac,,,12002,,
12S00003,Aguessac,,,12002,,
30S13024,Aigaliers,,,30001,,
30S13030,Aigaliers,,,30001,,
30S13026,Aigaliers,,,30001,,
1000267,Aigne,,,,,
31S13061,Aignes,,,31002,,
30S13035,Aigremont,,,30002,,
30S13031,Aigremont,,,30002,,
30S13033,Aigremont,,,30002,,
81S17388,Aiguefonde,,,81002,,
81S17390,Aiguefonde,,,81002,,
30S13039,Aigues-Mortes,,,30003,,
1005139,Aigues-Mortes,,,,,
30S13040,Aigues-Mortes,,,30003,,
30S13045,Aigues-Mortes,,,30003,,
30S13042,Aigues-Mortes,,,30003,,
1003687,Aigues-Mortes,,,,,
30S13043,Aigues-Mortes,,,30003,,
30S13055,Aigues-Vives,,,30004,,
30S13054,Aigues-Vives,,,30004,,
1000269,Aigues-Vives,,,,,
30S13052,Aigues-Vives,,,30004,,
09S01077,Aigues-Vives,,,09002,,
30S13047,Aigues-Vives,,,30004,,
30S13050,Aigues-Vives,,,30004,,
30S15782,Aigues-Vives,,,30004,,
09S03918,Aigues-Vives,,,09002,,
30S13066,Aimargues,,,30006,,
30S13072,Aimargues,,,30006,,
30S13069,Aimargues,,,30006,,
30S13071,Aimargues,,,30006,,
30S15522,Aimargues,,,30006,,
32S01968,Aire-sur-l'Adour,,,40001,,
11S03607,Ajac,,,11003,,
31S00001,Alan,,,31005,,
81S17639,Alban,,,81003,,
81S21051,Alban,,,81003,,
46S00095,Albas,,,46001,,
46S00094,Albas,,,46001,,
46S00093,Albas,,,46001,,
81S20551,Albi,,,81004,,
81S17635,Albi,,,81004,,
81S17797,Albi,,,81004,,
81S17222,Albi,,,81004,,
81S19421,Albi,,,81004,,
81S17810,Albi,,,81004,,
81S16956,Albi,,,81004,,
81S20554,Albi,,,81004,,
81S23026,Albi,,,81004,,
81S16920,Albi,,,81004,,
81S16959,Albi,,,81004,,
81S16916,Albi,,,81004,,
81S16918,Albi,,,81004,,
81S16957,Albi,,,81004,,
82S09202,Albias,,,82002,,
82S04635,Albias,,,82002,,
82S13288,Albias,,,82002,,
81S17356,Albine,,,81005,,
11S02990,Alet-les-Bains,,,11008,,
09S00002,Aleu,,,09005,,
1000281,Alignan-du-Vent,,,,,
1004593,Alignan-du-Vent,,,,,
1004137,Alignan-du-Vent,,,,,
48S03258,Allenc,,,48003,,
30S13100,Allègre-les-Fumades,,,30008,,
30S13095,Allègre-les-Fumades,,,30008,,
30S13109,Allègre-les-Fumades,,,30008,,
30S13104,Allègre-les-Fumades,,,30008,,
30S13105,Allègre-les-Fumades,,,30008,,
30S13110,Allègre-les-Fumades,,,30008,,
30S13093,Allègre-les-Fumades,,,30008,,
30S13107,Allègre-les-Fumades,,,30008,,
81S17561,Almayrac,,,81008,,
81S17555,Almayrac,,,81008,,
